Class,Tumor,Tumor,NAT,Tumor,Tumor,Tumor,Tumor,NAT,Tumor,Tumor,Tumor,Tumor,NAT,Tumor,Tumor,NAT,Tumor,NAT,Tumor,NAT,Tumor,NAT,Tumor,NAT,Tumor,Tumor,NAT,Tumor,Tumor,NAT,NAT
MB_21,6834634.8340601,4083739.83075349,6914900.23184759,6417379.80510598,4127190.37936147,4988749.88196059,4014829.80488402,5526437.20425045,6481712.99154317,9242072.97157064,5394192.23757125,6298825.8115753,3861968.31866784,7002801.86857716,9101822.52995316,7147021.16837301,8713254.71726724,7087395.13682103,6069690.21972611,4677351.93906934,6887662.0362545,663780.381045965,5275621.53109977,9522578.12580443,5662929.37057579,4766762.60120669,3344324.55889304,3884191.85416097,7384332.85798465,7914507.33476024,6505602.07481952
MB_22,10202350.2381255,5012070.70830619,13161628.3174537,8382367.74696896,9947047.64883469,4843763.62536933,11595412.3967029,12896680.6782062,7570308.6666124,3824734.75747203,7938058.98129252,8023908.59687678,12689961.3684089,7977530.52724707,9449835.17260225,7397776.64115579,9235797.70964943,9977473.23506044,7130666.80008982,10118119.2429096,7066244.73696955,10745023.1502713,2590307.90245634,8766871.32098902,9436223.31194876,4513052.41972119,6053888.58738067,7341545.79879989,5646901.94529107,11284021.052226,10658404.3896696
MB_23,70360674.2348256,16105981.9677283,42551081.1474923,61030090.4472653,93785143.8080912,52108318.5897696,96947692.6694812,56819835.3297061,79699969.7897476,9703204.90394928,40698061.0041126,35556250.7679823,99652672.3506101,30573504.8225688,19852289.7379749,63241817.4207392,46792657.5495386,75672024.0144677,24598687.8715598,67157950.546372,26627274.9279326,31189741.6762422,22111373.283817,52843914.0096839,74594830.5372884,100517096.894163,49690844.7098528,19111289.8100903,32932932.3642159,105429112.138787,64197769.0629881
MB_24,1154344.93473928,1056248.37967879,2459958.37726908,654214.651966034,1062842.9088345,1028308.92551129,1846076.14734375,934115.77955289,1260090.89144383,812745.931861303,1718904.42802441,623543.723096714,1516372.89273845,901144.649603937,1767949.63434511,1054236.45734415,751977.132580235,978546.980960897,959582.991819091,1540954.28972768,1369777.4817217,93907.7896726059,1400429.10607804,1395133.41788258,26749.785985017,1500265.33788498,1043146.71350965,1145868.92235894,573619.458311878,1000047.89441856,772177.559975447
MB_25,25986422.1444957,42064004.5215143,7159180.6185518,24790074.8056785,18343816.924467,24066884.6497049,13014631.4984922,25775350.089304,11032559.2404506,32081118.5375833,22079982.1408111,32396602.7855538,23151932.4069487,19876023.1155952,38974793.0645318,4270567.39688901,32416983.279815,30079312.8197326,6263953.45413965,29966990.7919147,24881324.8835235,23934516.0582848,34586541.9431903,12880591.3886567,33856180.7107064,15927349.7098902,18289245.1422391,31594907.2309548,10097573.9878997,41032710.3372931,24457997.8786783
MB_26,51637327.6903723,165495858.451937,142260544.342037,62964384.5042605,210974520.344887,62695730.8965566,113234874.341492,74813302.7032224,87589341.9948092,130039309.267406,103036792.181399,142141958.064587,2039652.16758186,226064133.967406,131876240.228679,23723693.1890125,97086993.4569125,73317832.0680595,145356300.957104,37932628.4750477,67473349.6488381,119888393.544077,36358669.0082889,163631980.224072,66532705.1982618,248986671.6546,103601253.178578,105915136.168941,174356625.493271,139227867.51968,168288168.617087
MB_27,28457869.954028,195003171.199613,286342301.899589,225095717.284011,124272024.247413,185364171.063709,76811199.4534951,542269229.714829,307620695.267405,237032776.022768,104368906.445705,18923796.9030931,122897039.100782,253462998.362798,246675389.924179,225422847.807208,222822424.580104,326586736.551374,404200090.252849,195532698.925554,162241533.662314,374497944.638495,300686837.466693,287201259.922498,330377497.894521,105568269.843234,312155127.43722,163325683.09624,117278939.24253,374766900.349858,291107556.054913
MB_28,3557627.70841303,8243224.00122213,9130269.88593012,6341827.82741028,2989440.47609056,5227116.87185863,5590101.04665854,9577931.76588788,6175225.43484204,4670737.82295205,3949961.33554281,4415326.28995276,2125319.14922282,7864127.17079819,5710324.33834995,3169313.21885878,4758122.57589631,4337597.38853302,5087923.13855599,5201215.9100515,5309007.2282886,3384497.31560666,7443953.5412077,7240470.7019064,4505681.68846538,4543288.58838228,4565414.92309094,5229094.60397185,6374391.71177826,6003523.46221052,4712219.40128051
MB_29,19479458.548582,21523998.6362059,31240628.0564408,21988402.2108189,24367983.7194826,31164640.807265,33840984.8085748,19665255.4904999,23832668.5488103,17684819.8283349,47746563.2141261,28357788.676015,16830774.3904603,21068982.2702124,13328821.2130646,21074691.4188284,39348379.4200174,16002371.7115397,15415401.9201502,28497590.1486864,16316731.7078416,26904820.520864,38009644.4063007,12995931.3079783,15283742.0880004,24898532.0247332,26539127.0630962,8267829.78837933,6837434.39105249,16353216.3049529,12521497.2980744
MB_30,7345199.58275084,7057007.20030946,6481876.12529586,3166035.00467663,6839493.58407774,5101948.44420458,7985524.76782917,2897838.07267926,5288154.89018108,5850017.08422863,4046535.42202633,7662881.36928712,5181397.60239605,8273261.77807706,1339200.53281633,6431149.60840984,8120577.01569032,7433068.76467742,7916460.72714864,7546153.95342356,5238167.65978192,8291947.56768403,6803198.20386578,7374072.71293355,5406245.41293473,4996847.44849119,8169479.19549965,8015219.29256397,3860012.79239996,3705995.83251436,3307766.38033282
