"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"P83916",0.12013,0.38888,0.48634,0.47818,0.48652,0.51067,0.51467,0.51271
"Q86X83",0.12004,0.30178,0.29657,0.30407,0.30899,0.31253,0.31265,0.31197
"Q5VVQ6",0.11985,0.17228,0.31246,0.30986,0.42518,0.46481,0.49307,0.57249
"Q9NRN7",0.11963,0.13259,0.17806,0.22575,0.29048,0.28757,0.31622,0.31721
"Q13439",0.11922,0.45662,0.44937,0.44151,0.44374,0.45363,0.4556,0.4575
"Q12907",0.1191,0.41997,0.46255,0.49471,0.48967,0.49266,0.48995,0.48824
"P61586",0.11794,0.14421,0.2012,0.24323,0.24553,0.24624,0.30773,0.30686
"O15294",0.11777,0.19079,0.22694,0.23713,0.23818,0.23641,0.24071,0.2484
"Q15181",0.11721,0.24198,0.2633,0.27899,0.27992,0.2782,0.29003,0.28909
"P62269",0.1171,0.22566,0.22545,0.22145,0.22677,0.23242,0.23134,0.23125
"P78417",0.11664,0.35365,0.36369,0.35847,0.35202,0.37197,0.37209,0.37131
"Q9BPX5",0.11611,0.281,0.27873,0.33021,0.37284,0.43401,0.43243,0.45257
"Q13596",0.11609,0.37733,0.37302,0.3955,0.40854,0.41672,0.41792,0.41859
"Q9UHA4",0.11597,0.10657,0.16063,0.15874,0.15656,0.18635,0.18791,0.19532
"P46937",0.11592,0.42104,0.42291,0.41576,0.49028,0.51091,0.50968,0.50887
"P57735",0.11561,1.1572,1.1628,1.1427,1.1283,1.1238,1.1336,1.1313
"Q14197",0.11526,0.15235,0.16559,0.2825,0.30371,0.39763,0.40817,0.40697
"P42167",0.11519,0.12835,0.22189,0.25682,0.25935,0.29989,0.32147,0.33585
"Q96RP9",0.11493,0.3369,0.35012,0.34389,0.4019,0.40066,0.39837,0.39694
"Q13501",0.11476,0.43657,0.45055,0.47195,0.46467,0.46392,0.46108,0.46107
"P15954",0.11457,0.53125,0.54868,0.58032,0.61032,0.60425,0.61085,0.61031
"Q9NYK5",0.11443,0.10632,0.16928,0.26577,0.387,0.38414,0.38816,0.38684
"Q9P0J7",0.1141,0.13056,0.31094,0.52267,0.54122,0.57158,0.58412,0.6129
"Q14204",0.11366,0.10307,0.1076,0.10668,0.11438,0.11627,0.13202,0.13152
"P07204",0.11349,0.13611,0.27977,0.27487,0.2705,0.27248,0.30208,0.31015
"P43243",0.11331,0.12322,0.17434,0.17486,0.17747,0.17514,0.1897,0.20658
"Q16543",0.1129,0.26637,0.26334,0.25878,0.27094,0.27545,0.28759,0.28651
"Q99797",0.11256,0.12999,0.14138,0.17483,0.23557,0.26295,0.26866,0.27978
"Q9UDY2",0.1121,0.42225,0.41893,0.45814,0.50145,0.49776,0.4986,0.49812
"Q13557",0.11175,0.43232,0.42869,0.43033,0.42347,0.41865,0.42254,0.42262
"O00592",0.1116,0.61268,0.60845,0.60979,0.63917,0.63124,0.63589,0.63353
"Q16774",0.11145,0.20054,0.20608,0.23314,0.23005,0.23521,0.23964,0.24303
"Q14677",0.11138,0.39534,0.39652,0.38948,0.39425,0.38914,0.41479,0.41888
"O14818",0.11118,0.14435,0.14443,0.14187,0.1503,0.15111,0.15599,0.16092
"P02792",0.11104,0.25975,0.31713,0.57449,0.56425,0.65589,0.6522,0.65047
"O00273",0.11097,0.17785,0.17647,0.18876,0.19354,0.19416,0.19389,0.19375
"P10809",0.11046,0.32124,0.32311,0.31956,0.35986,0.36659,0.36967,0.36842
"Q3ZCQ8",0.11041,0.42526,0.43366,0.44025,0.44823,0.47231,0.46965,0.47019
"Q92878",0.11039,0.16248,0.17282,0.17567,0.31358,0.32381,0.337,0.34541
"P07741",0.11035,0.32115,0.32177,0.31771,0.31203,0.30828,0.30637,0.30998
"Q96SQ9",0.11015,0.23662,0.24235,0.28462,0.28608,0.42302,0.42126,0.42382
"Q96QR8",0.10981,0.099632,0.10439,0.10436,0.11963,0.25684,0.25715,0.25622
"O43707",0.10937,0.34601,0.34146,0.33934,0.34295,0.3388,0.33892,0.33765
"O14828",0.10846,0.21215,0.21796,0.23881,0.35322,0.35208,0.34989,0.35715
"Q96HY6",0.10801,0.22785,0.24122,0.25529,0.2572,0.26788,0.26621,0.26554
"P62263",0.10784,0.23186,0.2344,0.23062,0.22805,0.23631,0.24237,0.24154
"Q8TAQ2",0.1074,0.3573,0.37218,0.36582,0.36134,0.36295,0.3724,0.39121
"O14773",0.10719,0.15387,0.19055,0.22009,0.22053,0.22205,0.22577,0.23267
"P48643",0.10661,0.13391,0.1316,0.15891,0.15752,0.16036,0.16003,0.16108
"Q7LG56",0.10645,0.28153,0.28658,0.28224,0.3476,0.35862,0.35788,0.36169
"Q5TGZ0",0.10615,0.6199,0.62133,0.65987,0.68546,0.73758,0.73342,0.74353
"P20618",0.10601,0.14579,0.14525,0.15902,0.15943,0.16888,0.16839,0.17543
"Q5T447",0.106,0.24511,0.268,0.30777,0.44567,0.43991,0.43723,0.4356
"P22694",0.10571,0.33335,0.44066,0.43296,0.54597,0.55036,0.55671,0.56232
"P35637",0.1056,0.095888,0.10855,0.10663,0.13437,0.30159,0.34198,0.34131
"Q9Y2I8",0.10532,0.19981,0.21824,0.29435,0.29128,0.34926,0.34903,0.35968
"P54920",0.10517,0.1013,0.11889,0.12082,0.11972,0.15671,0.15767,0.17129
"Q9BQA1",0.10482,0.26352,0.26203,0.27506,0.2701,0.26786,0.26721,0.26976
"Q86VB7",0.10468,0.23229,0.23187,0.43091,0.42349,0.52109,0.55112,0.5662
"P52294",0.10442,0.21093,0.21508,0.24279,0.24329,0.25609,0.2669,0.29233
"Q12931",0.10426,0.20304,0.21363,0.27235,0.34626,0.34616,0.34618,0.34497
"P15104",0.1042,0.38693,0.3805,0.37818,0.39648,0.39216,0.39744,0.39935
"Q01844",0.10327,0.23974,0.2681,0.26334,0.25872,0.25539,0.25612,0.26592
"P17480",0.10311,0.20446,0.24127,0.23933,0.23904,0.23976,0.24323,0.26971
"P68402",0.10265,0.093101,0.11898,0.12265,0.1424,0.14123,0.18709,0.1866
"P61006",0.1026,0.10337,0.17451,0.19227,0.18945,0.27521,0.28344,0.28721
"B5MCY1",0.10252,0.4178,0.41566,0.43553,0.43001,0.55654,0.56398,0.57326
"Q5GLZ8",0.102,0.24302,0.24636,0.28503,0.27998,0.27837,0.27835,0.27942
